metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1764776882,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1764776882,0.913689,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1764776882,1.460842,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1764776882,0.238432,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1764776882,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1764776882,0.048086,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1764776882,0.666181,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1764776882,0.199422,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1764776882,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1764776882,1.000000,status was 200,,,,,,,,default,,,,,,,
vus,1764776883,1.000000,,,,,,,,,,,,,,,,
vus_max,1764776883,10.000000,,,,,,,,,,,,,,,,
http_reqs,1764776883,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1764776883,0.854162,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1764776883,0.310231,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1764776883,0.233380,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1764776883,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1764776883,0.055054,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1764776883,0.705748,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1764776883,0.093360,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1764776883,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1764776883,1.000000,status was 200,,,,,,,,default,,,,,,,
data_sent,1764776883,84.000000,,,,,,,,,default,,,,,,,
data_received,1764776883,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1764776883,1003.761971,,,,,,,,,default,,,,,,,
iterations,1764776883,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1764776883,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1764776883,0.731671,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1764776883,0.285146,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1764776883,0.184508,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1764776883,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1764776883,0.047021,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1764776883,0.555857,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1764776883,0.128793,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1764776883,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1764776883,1.000000,status was 200,,,,,,,,default,,,,,,,
vus,1764776884,2.000000,,,,,,,,,,,,,,,,
vus_max,1764776884,10.000000,,,,,,,,,,,,,,,,
data_sent,1764776884,84.000000,,,,,,,,,default,,,,,,,
data_received,1764776884,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1764776884,1002.076424,,,,,,,,,default,,,,,,,
iterations,1764776884,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1764776884,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1764776884,0.714479,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1764776884,0.344539,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1764776884,0.261102,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1764776884,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1764776884,0.063425,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1764776884,0.547536,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1764776884,0.103518,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1764776884,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1764776884,1.000000,status was 200,,,,,,,,default,,,,,,,
data_sent,1764776884,84.000000,,,,,,,,,default,,,,,,,
data_received,1764776884,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1764776884,1001.896154,,,,,,,,,default,,,,,,,
iterations,1764776884,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1764776884,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1764776884,0.665760,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1764776884,0.329685,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1764776884,0.274466,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1764776884,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1764776884,0.043295,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1764776884,0.473952,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1764776884,0.148513,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1764776884,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1764776884,1.000000,status was 200,,,,,,,,default,,,,,,,
vus,1764776885,2.000000,,,,,,,,,,,,,,,,
vus_max,1764776885,10.000000,,,,,,,,,,,,,,,,
data_sent,1764776885,84.000000,,,,,,,,,default,,,,,,,
data_received,1764776885,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1764776885,1001.552882,,,,,,,,,default,,,,,,,
iterations,1764776885,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1764776885,1.000000,,,,true,,POST,CreatePost,HTTP/1.1,default,,201,,,CreatePost,,
http_req_duration,1764776885,1.106424,,,,true,,POST,CreatePost,HTTP/1.1,default,,201,,,CreatePost,,
http_req_blocked,1764776885,0.250456,,,,true,,POST,CreatePost,HTTP/1.1,default,,201,,,CreatePost,,
http_req_connecting,1764776885,0.191870,,,,true,,POST,CreatePost,HTTP/1.1,default,,201,,,CreatePost,,
http_req_tls_handshaking,1764776885,0.000000,,,,true,,POST,CreatePost,HTTP/1.1,default,,201,,,CreatePost,,
http_req_sending,1764776885,0.043871,,,,true,,POST,CreatePost,HTTP/1.1,default,,201,,,CreatePost,,
http_req_waiting,1764776885,0.968289,,,,true,,POST,CreatePost,HTTP/1.1,default,,201,,,CreatePost,,
http_req_receiving,1764776885,0.094264,,,,true,,POST,CreatePost,HTTP/1.1,default,,201,,,CreatePost,,
http_req_failed,1764776885,0.000000,,,,true,,POST,CreatePost,HTTP/1.1,default,,201,,,CreatePost,,
checks,1764776885,1.000000,status was 201,,,,,,,,default,,,,,,,
data_sent,1764776885,84.000000,,,,,,,,,default,,,,,,,
data_received,1764776885,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1764776885,1001.248739,,,,,,,,,default,,,,,,,
iterations,1764776885,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1764776885,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
